institution,path
KDS,./inst_logos/KDS.png
Keio,./inst_logos/KDS.png
WAD,./inst_logos/WAD.png
Waseda,./inst_logos/WAD.png
Tokyo,./inst_logos/Tokyo.png
UTDS,./inst_logos/Tokyo.png
QUDS,./inst_logos/QUDS.png
Kyushu,./inst_logos/QUDS.png
Osaka,./inst_logos/Osaka.png
Doshisha,./inst_logos/Doshisha.png
Tsukuba,./inst_logos/Tsukuba.png
AIU,./inst_logos/AIU.png
Hit-U,./inst_logos/Hit-U.png
Hitotsubashi,./inst_logos/Hit-U.png
HUDS,./inst_logos/HUDS.png
Hiroshima,./inst_logos/HUDS.png
Kyoto,./inst_logos/Kyoto.png
ICUDS,./inst_logos/ICU.png
ICU,./inst_logos/ICU.png
